"Age","LearnCode","n","prop"
"18-24 years old","Books",2733,11.9
"18-24 years old","Coding Bootcamp",890,3.9
"18-24 years old","Colleague",1152,5
"18-24 years old","Friends&Family",972,4.2
"18-24 years old","Hackathon",802,3.5
"18-24 years old","Job training",2884,12.6
"18-24 years old","Online courses",3671,16
"18-24 years old","Online resources",5385,23.5
"18-24 years old","School",4460,19.4
"25-34 years old","Books",12710,15.1
"25-34 years old","Coding Bootcamp",2812,3.3
"25-34 years old","Colleague",5401,6.4
"25-34 years old","Friends&Family",3135,3.7
"25-34 years old","Hackathon",2091,2.5
"25-34 years old","Job training",11884,14.1
"25-34 years old","Online courses",12144,14.4
"25-34 years old","Online resources",17604,20.9
"25-34 years old","School",16434,19.5
"35-44 years old","Books",9230,20.6
"35-44 years old","Coding Bootcamp",1053,2.3
"35-44 years old","Colleague",2967,6.6
"35-44 years old","Friends&Family",1960,4.4
"35-44 years old","Hackathon",653,1.5
"35-44 years old","Job training",6355,14.2
"35-44 years old","Online courses",5586,12.5
"35-44 years old","Online resources",8721,19.4
"35-44 years old","School",8332,18.6
"45-54 years old","Books",4100,24.7
"45-54 years old","Coding Bootcamp",360,2.2
"45-54 years old","Colleague",1034,6.2
"45-54 years old","Friends&Family",629,3.8
"45-54 years old","Hackathon",167,1
"45-54 years old","Job training",2514,15.2
"45-54 years old","Online courses",1884,11.4
"45-54 years old","Online resources",2896,17.5
"45-54 years old","School",2982,18
"55-64 years old","Books",1486,26
"55-64 years old","Coding Bootcamp",112,2
"55-64 years old","Colleague",339,5.9
"55-64 years old","Friends&Family",129,2.3
"55-64 years old","Hackathon",42,0.7
"55-64 years old","Job training",979,17.1
"55-64 years old","Online courses",583,10.2
"55-64 years old","Online resources",906,15.9
"55-64 years old","School",1137,19.9
"65 years or older","Books",323,26.5
"65 years or older","Coding Bootcamp",22,1.8
"65 years or older","Colleague",81,6.6
"65 years or older","Friends&Family",18,1.5
"65 years or older","Hackathon",6,0.5
"65 years or older","Job training",236,19.4
"65 years or older","Online courses",103,8.4
"65 years or older","Online resources",181,14.8
"65 years or older","School",249,20.4
"Prefer not to say","Books",124,19.7
"Prefer not to say","Coding Bootcamp",22,3.5
"Prefer not to say","Colleague",40,6.4
"Prefer not to say","Friends&Family",19,3
"Prefer not to say","Hackathon",18,2.9
"Prefer not to say","Job training",91,14.5
"Prefer not to say","Online courses",75,11.9
"Prefer not to say","Online resources",117,18.6
"Prefer not to say","School",123,19.6
"Under 18 years old","Books",53,17
"Under 18 years old","Coding Bootcamp",20,6.4
"Under 18 years old","Colleague",6,1.9
"Under 18 years old","Friends&Family",22,7.1
"Under 18 years old","Hackathon",7,2.2
"Under 18 years old","Job training",20,6.4
"Under 18 years old","Online courses",63,20.2
"Under 18 years old","Online resources",98,31.4
"Under 18 years old","School",23,7.4
