"ResponseId","EdLevel","YearsCodePro","pro_range","Age","Gender","ConvertedCompYearly","Country.y","x","y"
3,"Master",5,"5-10 years","25-34 years old","Male",40205,"United Kingdom",-2.86563362,54.12387156
4,"Bachelor",17,"10-20 years","35-44 years old","Male",215232,"Israel",35.00444995,31.4611019
9,"Master",6,"5-10 years","25-34 years old","Female",49056,"Netherlands",5.2814735,52.10080804
11,"Bachelor",2,"0-5 years","18-24 years old","Male",60307,"United Kingdom",-2.86563362,54.12387156
12,"Bachelor",10,"10-20 years","35-44 years old","Male",194400,"United States of America",-112.46167057,45.67955203
13,"Bachelor",5,"5-10 years","25-34 years old","Male",65000,"United States of America",-112.46167057,45.67955203
15,"Master",5,"5-10 years","25-34 years old","Male",110000,"United States of America",-112.46167057,45.67955203
17,"Bachelor",4,"0-5 years","25-34 years old","Male",19224,"Czech Republic",15.31240065,49.73341073
18,"Master",10,"10-20 years","25-34 years old","Female",202623,"Austria",14.12647809,47.58549847
19,"Secondary",22,"20-30 years","45-54 years old","Male",51192,"Austria",14.12647809,47.58549847
22,"Master",4,"0-5 years","25-34 years old","Male",34126,"Italy",12.07000946,42.79663568
23,"Other",20,"20-30 years","35-44 years old","Male",97605,"Canada",-98.30775723,61.36206827
26,"Master",9,"5-10 years","25-34 years old","Male",90647,"Germany",10.38577693,51.10697903
27,"Bachelor",5,"5-10 years","25-34 years old","Male",106960,"United States of America",-112.46167057,45.67955203
29,"Master",14,"10-20 years","35-44 years old","Male",130000,"United States of America",-112.46167057,45.67955203
30,"Master",22,"20-30 years","45-54 years old","Male",1663644,"Ireland",-8.13793167,53.1754426
32,"Bachelor",21,"20-30 years","55-64 years old","Male",102000,"United States of America",-112.46167057,45.67955203
35,"Master",5,"5-10 years","25-34 years old","Male",83256,"Poland",19.39011841,52.12759537
41,"AssocDeg",15,"10-20 years","35-44 years old","Male",130000,"United States of America",-112.46167057,45.67955203
42,"Secondary",3,"0-5 years","18-24 years old","Male",68160,"Israel",35.00444995,31.4611019
46,"Master",3,"0-5 years","25-34 years old","Male",5124,"Madagascar",46.70473751,-19.37189599
48,"Bachelor",5,"5-10 years","25-34 years old","Female",135000,"United States of America",-112.46167057,45.67955203
49,"NonDeg",25,"20-30 years","55-64 years old","Male",106644,"Germany",10.38577693,51.10697903
50,"Secondary",4,"0-5 years","25-34 years old","Male",51192,"Germany",10.38577693,51.10697903
52,"Bachelor",3,"0-5 years","25-34 years old","Male",38856,"Poland",19.39011841,52.12759537
54,"Bachelor",10,"10-20 years","25-34 years old","Male",170000,"United States of America",-112.46167057,45.67955203
55,"Bachelor",7,"5-10 years","25-34 years old","Male",103705,"Norway",15.34832968,68.75014407
56,"Master",5,"5-10 years","25-34 years old","Female",141000,"United States of America",-112.46167057,45.67955203
57,"Bachelor",3,"0-5 years","25-34 years old","Male",55163,"Taiwan",120.95427264,23.75400343
58,"Bachelor",8,"5-10 years","25-34 years old","Male",46704,"Netherlands",5.2814735,52.10080804
60,"Bachelor",2,"0-5 years","25-34 years old","Female",63986,"Germany",10.38577693,51.10697903
61,"Bachelor",4,"0-5 years","25-34 years old","Male",66372,"Canada",-98.30775723,61.36206827
63,"ProfDeg",14,"10-20 years","35-44 years old","Male",74651,"France",2.53618475,46.18700581
64,"Bachelor",12,"10-20 years","35-44 years old","Male",150000,"United States of America",-112.46167057,45.67955203
67,"Master",20,"20-30 years","45-54 years old","Male",24924,"Brazil",-53.09783199,-10.78777567
70,"NonDeg",15,"10-20 years","35-44 years old","Male",38808,"Uruguay",-56.01806795,-32.79951982
74,"Bachelor",2,"0-5 years","18-24 years old","Male",63986,"Germany",10.38577693,51.10697903
75,"Bachelor",6,"5-10 years","35-44 years old","Male",50220,"Sweden",16.74371219,62.79232016
77,"Master",20,"20-30 years","35-44 years old","Male",160000,"United States of America",-112.46167057,45.67955203
80,"Master",10,"10-20 years","25-34 years old","Male",87448,"France",2.53618475,46.18700581
84,"NonDeg",20,"20-30 years","35-44 years old","Male",150000,"Uruguay",-56.01806795,-32.79951982
85,"Bachelor",7,"5-10 years","25-34 years old","Male",69102,"United Kingdom",-2.86563362,54.12387156
