"background","salary","type"
"AssocDeg",122.3,"edu"
"Bachelor",129.9,"edu"
"Doctoral",161.6,"edu"
"Master",131,"edu"
"NonDeg",123.5,"edu"
"Other",107.6,"edu"
"Primary",121.9,"edu"
"ProfDeg",81.4,"edu"
"Secondary",110.2,"edu"
"18-24 years old",82.7,"age"
"25-34 years old",114,"age"
"35-44 years old",154.2,"age"
"45-54 years old",173,"age"
"55-64 years old",206.2,"age"
"65 years or older",183.3,"age"
"Prefer not to say",157.9,"age"
"Under 18 years old",125,"age"
"0-5 years",91.2,"pro"
"10-20 years",153.1,"pro"
"20-30 years",178.4,"pro"
"30-40 years",195.5,"pro"
"40+ years",163.5,"pro"
"5-10 years",122.4,"pro"
"Female",109.5,"sex"
"Male",128.2,"sex"
"Non Binary",155.4,"sex"
"Prefer not say",173,"sex"
